month_index,month_label,year,month,date,M_t_max_h1_persistence,Tot_t_total_h1_persistence,N_h1,N_sig_t,A_t,R_t_bottleneck_to_previous,h1_threshold
166,2020_11,2020,11,2020-11-01,0.0001368316628467,0.0003689054691251669,14,0,False,1.9406131075599996e-05,0.00017490356387223999
167,2020_12,2020,12,2020-12-01,0.0002394554099818,0.0005389630343957765,14,1,True,0.0001026237471351,0.00017490356387223999
168,2021_1,2021,1,2021-01-01,0.0002264492753623,0.0004853100417060846,11,1,True,3.291157838911687e-05,0.00017490356387223999
169,2021_2,2021,2,2021-02-01,0.0001087981431783,0.00040719095294018063,17,0,False,0.00011322463768115,0.00017490356387223999
170,2021_3,2021,3,2021-03-01,0.0001144269498352,0.00039947819970671057,13,0,False,1.6799275560686668e-05,0.00017490356387223999
171,2021_4,2021,4,2021-04-01,0.0001843941116813,0.00042959480041871,10,1,True,6.996716184609999e-05,0.00017490356387223999
172,2021_5,2021,5,2021-05-01,0.0001393534002229,0.0003665364886542258,12,0,False,4.5040711458399995e-05,0.00017490356387223999
173,2021_6,2021,6,2021-06-01,0.0001383317194632,0.0004291414542044338,12,0,False,3.9215686274509805e-05,0.00017490356387223999
174,2021_7,2021,7,2021-07-01,0.0001811758311441,0.00043796536529401597,11,1,True,4.2844111680899986e-05,0.00017490356387223999
175,2021_8,2021,8,2021-08-01,0.0001574431236715,0.0004041617780223667,13,0,False,2.3732707472600003e-05,0.00017490356387223999
176,2021_9,2021,9,2021-09-01,0.0001393534002229,0.00044596411224377225,14,0,False,2.504307728768817e-05,0.00017490356387223999
177,2021_10,2021,10,2021-10-01,0.0001644083355026,0.0005143716589177902,16,0,False,2.505493527969998e-05,0.00017490356387223999
178,2021_11,2021,11,2021-11-01,0.0001187225454113,0.00031263931014159266,12,0,False,4.568579009129998e-05,0.00017490356387223999
179,2021_12,2021,12,2021-12-01,0.0001144269498352,0.00027709392549798577,11,0,False,1.3313176919023817e-05,0.00017490356387223999
180,2022_1,2022,1,2022-01-01,0.0001523777860892,0.0004626370713628641,14,0,False,3.9211585716526374e-05,0.00017490356387223999
181,2022_2,2022,2,2022-02-01,0.0001060595347521,0.0004374440110617376,15,0,False,4.63182513371e-05,0.00017490356387223999
182,2022_3,2022,3,2022-03-01,0.0001523777860892,0.0004680459735404586,13,0,False,4.63182513371e-05,0.00017490356387223999
183,2022_4,2022,4,2022-04-01,0.0001151383963524,0.000323530267625779,11,0,False,3.72393897368e-05,0.00017490356387223999
184,2022_5,2022,5,2022-05-01,0.0001590204341257,0.0004253891202405727,12,0,False,4.388203777329999e-05,0.00017490356387223999
185,2022_6,2022,6,2022-06-01,0.0001590204341257,0.0004506105673093483,12,0,False,3.214744007300903e-05,0.00017490356387223999
186,2022_7,2022,7,2022-07-01,0.0001662303120974,0.0004381919886007862,13,0,False,1.7926531354651465e-05,0.00017490356387223999
187,2022_8,2022,8,2022-08-01,0.0004770613023773,0.0006732811770590285,10,1,True,0.00023853065118864997,0.00017490356387223999
188,2022_9,2022,9,2022-09-01,0.000124672734073,0.0002530914971009358,10,0,False,0.00023853065118864997,0.00017490356387223999
189,2022_10,2022,10,2022-10-01,0.0001456717287592,0.0005353564217371808,15,0,False,2.0998994686200015e-05,0.00017490356387223999
190,2022_11,2022,11,2022-11-01,0.000136605801193,0.00041794613229578575,13,0,False,1.874134306444789e-05,0.00017490356387223999
191,2022_12,2022,12,2022-12-01,0.0003187468694503,0.0004952271701634291,8,1,True,0.00015937343472515,0.00017490356387223999
192,2023_1,2023,1,2023-01-01,9.251977610214184e-05,0.00012252574485700768,2,0,False,0.00015937343472515,0.00017490356387223999
193,2023_2,2023,2,2023-02-01,0.0001481426613829,0.00021542357227611562,4,0,False,5.562288528075817e-05,0.00017490356387223999
194,2023_3,2023,3,2023-03-01,0.000114215227174,0.00020340445953534025,5,0,False,3.39274342089e-05,0.00017490356387223999
195,2023_4,2023,4,2023-04-01,0.0001111069960371,0.00022830652292431342,6,0,False,1.416523870127345e-05,0.00017490356387223999
196,2023_5,2023,5,2023-05-01,0.0001806333282385,0.0002499254085592487,4,1,True,6.95263322014e-05,0.00017490356387223999
197,2023_6,2023,6,2023-06-01,0.0001379976540398,0.00025217317830217116,4,0,False,4.26356741987e-05,0.00017490356387223999
198,2023_7,2023,7,2023-07-01,0.0001090076668725,0.0002272026029280285,6,0,False,2.8989987167299988e-05,0.00017490356387223999
199,2023_8,2023,8,2023-08-01,0.0001045737964209,0.000176170039144018,3,0,False,1.1786128904891832e-05,0.00017490356387223999
200,2023_9,2023,9,2023-09-01,0.0001603334936668,0.00022818641606996384,4,0,False,5.5759697245900006e-05,0.00017490356387223999
201,2023_10,2023,10,2023-10-01,0.0001250538426266,0.0001580965779301941,4,0,False,3.527965104020001e-05,0.00017490356387223999
202,2023_11,2023,11,2023-11-01,0.00014534355583,0.00024821992422050616,6,0,False,2.0289713203400006e-05,0.00017490356387223999
203,2023_12,2023,12,2023-12-01,9.18822070106124e-05,0.00011602927877570968,2,0,False,5.346134881938761e-05,0.00017490356387223999
204,2024_1,2024,1,2024-01-01,7.127837770412345e-05,0.00011147124065677559,3,0,False,2.060382930648895e-05,0.00017490356387223999
205,2024_2,2024,2,2024-02-01,0.000131717597471,0.00014851701061150096,2,0,False,6.0439219766876553e-05,0.00017490356387223999
206,2024_3,2024,3,2024-03-01,0.0001378233105159,0.00017998943894058898,3,0,False,9.962667100325325e-06,0.00017490356387223999
