grid_index,x,observed_lambda1,fitted_mean_lambda1,bootstrap_mean,bootstrap_sd,ci_2_5,ci_50,ci_97_5
14,4.47045397140747e-05,3.9251552011945324e-05,1.8224402841286916e-05,3.89613194849478e-05,5.180641050302711e-07,3.789483520866117e-05,3.896835372860616e-05,3.990428764939958e-05
15,4.789772112222289e-05,4.030284252680741e-05,1.7480906577730748e-05,3.986120343032076e-05,6.281185527602235e-07,3.859455597265464e-05,3.9883650187471216e-05,4.1040334371291255e-05
16,5.1090902530371084e-05,4.1003273257397606e-05,1.6727568995375723e-05,4.0434157264080874e-05,7.444072077323912e-07,3.893753633316936e-05,4.043213682651199e-05,4.18289426272168e-05
17,5.428408393851928e-05,4.12328813586074e-05,1.591459554994002e-05,4.059390544064964e-05,8.489691060204912e-07,3.8832240016249026e-05,4.058528098055656e-05,4.221751591864528e-05
18,5.747726534666747e-05,4.116645387888275e-05,1.5004290710989658e-05,4.031747368946866e-05,9.512291452407404e-07,3.8374852238288975e-05,4.033139384812938e-05,4.214005303405e-05
19,6.0670446754815664e-05,4.081390663850459e-05,1.409957054141819e-05,3.983192380869182e-05,1.0554752236861716e-06,3.768758228583955e-05,3.983018327875555e-05,4.183962686603435e-05
20,6.386362816296386e-05,4.026079249907554e-05,1.3222918296312021e-05,3.917727364175494e-05,1.163956486847527e-06,3.681899886319877e-05,3.9187806734370444e-05,4.138404178818381e-05
21,6.705680957111204e-05,3.954605951564111e-05,1.2471405379613671e-05,3.841165043298142e-05,1.2691197628226424e-06,3.5804546182719974e-05,3.843793185073834e-05,4.0843703614408235e-05
22,7.024999097926024e-05,3.855081386646017e-05,1.1721481508420502e-05,3.7444125854152284e-05,1.3510715371449988e-06,3.468874701277725e-05,3.745615618369543e-05,3.997723672206025e-05
23,7.344317238740843e-05,3.739383780272198e-05,1.101203952486581e-05,3.632194038690748e-05,1.4051921077330568e-06,3.3447972775427464e-05,3.63621638495897e-05,3.895426631964149e-05
24,7.663635379555663e-05,3.604830290119564e-05,1.0321436835444435e-05,3.509444473472988e-05,1.4399752081893754e-06,3.211683342500457e-05,3.513351447243499e-05,3.76970741403666e-05
25,7.982953520370482e-05,3.456506260558449e-05,9.640477464584885e-06,3.38015912075562e-05,1.4587564337567917e-06,3.082087050499813e-05,3.3830812992976996e-05,3.6487023375834e-05
26,8.302271661185301e-05,3.294632587378034e-05,8.995082646921783e-06,3.241898296596633e-05,1.4758860948871125e-06,2.947108989240704e-05,3.242547558320945e-05,3.5191427538696404e-05
27,8.62158980200012e-05,3.129024581295214e-05,8.417141527471167e-06,3.101663204933211e-05,1.497834945350471e-06,2.806566314876571e-05,3.103320976821053e-05,3.387403248350143e-05
28,8.94090794281494e-05,2.9617022661954925e-05,7.867510644087075e-06,2.9581440365621125e-05,1.518993214948818e-06,2.6552022099043616e-05,2.9574509819319768e-05,3.244902387299254e-05
29,9.26022608362976e-05,2.7946149144810427e-05,7.294806355442094e-06,2.813637833130648e-05,1.5282118855745137e-06,2.5192565415760367e-05,2.814488070903808e-05,3.111156647491912e-05
30,9.579544224444578e-05,2.6356555727184254e-05,6.758702763652335e-06,2.672327916672144e-05,1.5297955443177918e-06,2.3851412416795758e-05,2.6721040045046154e-05,2.970639628500146e-05
31,9.898862365259397e-05,2.477883478175816e-05,6.21685187013262e-06,2.5361607113381005e-05,1.5324430338979185e-06,2.242057087818731e-05,2.5334069391115604e-05,2.830282427848112e-05
32,0.00010218180506074217,2.3248010331642844e-05,5.69318316378489e-06,2.4031456573288028e-05,1.5403793252380603e-06,2.1082561833854152e-05,2.4017298525774336e-05,2.6984500892171437e-05
33,0.00010537498646889036,2.186324804911989e-05,5.2255703494085455e-06,2.276554777643785e-05,1.5457794510207874e-06,1.97807750629864e-05,2.273964076621123e-05,2.586185588861017e-05
34,0.00010856816787703856,2.0567853484659728e-05,4.829039597024259e-06,2.159794718928408e-05,1.5452615029642652e-06,1.863632871802183e-05,2.1562819708940866e-05,2.469086511227671e-05
35,0.00011176134928518674,1.9324922271608916e-05,4.4685133171011065e-06,2.05032719227567e-05,1.5390829090484422e-06,1.7567289951970792e-05,2.0507397407996287e-05,2.3589845183486573e-05
36,0.00011495453069333494,1.8066134631717534e-05,4.123709690869142e-06,1.943971051341445e-05,1.5305644227120912e-06,1.6558429736763437e-05,1.94093205582161e-05,2.2507561087537146e-05
37,0.00011814771210148313,1.687916722356494e-05,3.7976592860881143e-06,1.8388793239211093e-05,1.5196039114860446e-06,1.5539859522921887e-05,1.834136817512217e-05,2.142196370649121e-05
38,0.00012134089350963133,1.5731367381975528e-05,3.5300754059704134e-06,1.7314876565509367e-05,1.5024453532305383e-06,1.4530522677339286e-05,1.7304325939881688e-05,2.032039203475374e-05
39,0.0001245340749177795,1.4592495782847585e-05,3.2752205517989652e-06,1.626200434126491e-05,1.484792183654443e-06,1.3439621395740022e-05,1.6275856622848084e-05,1.9222845757409423e-05
40,0.00012772725632592772,1.35029939206748e-05,3.0295901802371596e-06,1.5238876509685737e-05,1.4680481699889634e-06,1.2430217745858704e-05,1.5227995571323466e-05,1.810844572989786e-05
41,0.0001309204377340759,1.2457702796292199e-05,2.8131356323482083e-06,1.4239127332300413e-05,1.4540642698180575e-06,1.142188843939272e-05,1.420518501549623e-05,1.7146101494843632e-05
42,0.00013411361914222408,1.1474156801933836e-05,2.6270634858139248e-06,1.3285249677246015e-05,1.442907701740221e-06,1.0490273020171564e-05,1.3241540382705032e-05,1.6158513424252373e-05
43,0.0001373068005503723,1.0576526196804472e-05,2.4717126241783106e-06,1.239530233817119e-05,1.432972310199818e-06,9.713469060707347e-06,1.2366093671256735e-05,1.5213572846465026e-05
