month_label,year,month,date,month_index,observed_n_h1,observed_max_h1,observed_total_h1,fitted_n_h1,fitted_max_h1,fitted_total_h1
2015_9,2015,9,2015-09-01,104,14.0,0.0001323714342444,0.0005033046342346,13,7.554285979972658e-05,0.000225959036775
2015_10,2015,10,2015-10-01,105,14.0,9.129293620906084e-05,0.0003274453891647,16,4.8957790114122064e-05,0.0001452370928032
2015_11,2015,11,2015-11-01,106,14.0,7.753440589261485e-05,0.0003393566510482,11,6.835405060739778e-05,0.0002138342228968
2015_12,2015,12,2015-12-01,107,14.0,0.0002776717226059,0.0005507813159322,14,0.0002781342781193,0.000458708660938
2016_1,2016,1,2016-01-01,108,16.0,0.0001749628204006,0.0004829195457752,11,6.318563334525894e-05,0.0001874633378989
2016_2,2016,2,2016-02-01,109,15.0,9.19648956855326e-05,0.0004105626129366,13,6.148698056208704e-05,0.0001743394609824
2016_3,2016,3,2016-03-01,110,11.0,0.000123325851565,0.0004497968610919,14,5.661450172425056e-05,0.0002278149768379
2016_4,2016,4,2016-04-01,111,16.0,0.0001212356335774,0.0003465056613946,16,5.7688111160256856e-05,0.0002376363973187
2016_5,2016,5,2016-05-01,112,10.0,9.88549303896532e-05,0.0004207234257993,20,5.660188900218136e-05,0.0002507635533662
2016_6,2016,6,2016-06-01,113,15.0,9.29584011155008e-05,0.0005579399566401,18,7.737273639162974e-05,0.0003583783171058
2016_7,2016,7,2016-07-01,114,16.0,0.0001051441789553,0.0005730996332418,17,6.163806306524206e-05,0.0002888005008429
2016_8,2016,8,2016-08-01,115,15.0,8.88946356128073e-05,0.0005109543209419,16,5.215313330818343e-05,0.0002130781905326
2016_9,2016,9,2016-09-01,116,17.0,0.0001344550727978,0.0006333907870239,17,5.523965519551902e-05,0.0002452600763338
2016_10,2016,10,2016-10-01,117,18.0,8.88946356128073e-05,0.0005216642457293,17,8.158791928382807e-05,0.0003170201922929
2016_11,2016,11,2016-11-01,118,15.0,0.000100642434205,0.0005137921607158,15,5.5324572168451176e-05,0.0002602018352116
2016_12,2016,12,2016-12-01,119,16.0,0.0001328771218815,0.0006142079580092,15,7.314250660322507e-05,0.0002771360454225
2017_1,2017,1,2017-01-01,120,13.0,0.0002418964683115,0.0005212648426242,12,0.0003838095136464,0.0005968524895819
2017_2,2017,2,2017-02-01,121,14.0,0.0002764531066417,0.0008884504497365,14,0.000179252501408,0.0004751262102888
2017_3,2017,3,2017-03-01,122,13.0,0.0001152759899325,0.0004766417599411,13,9.169463399807736e-05,0.000234124916338
2017_4,2017,4,2017-04-01,123,13.0,0.000181021686398,0.0005869491869889,15,0.0001168824982001,0.0004402082081078
2017_5,2017,5,2017-05-01,124,14.0,0.0001474447268913,0.0005127913620177,12,9.064109011454254e-05,0.0002529664649702
2017_6,2017,6,2017-06-01,125,16.0,0.0001039906408423,0.0006145095041441,17,8.237043082893614e-05,0.0004342837290249
2017_7,2017,7,2017-07-01,126,17.0,0.0001445452245871,0.0005532789397156,15,6.969571843662207e-05,0.0002243859599955
2017_8,2017,8,2017-08-01,127,14.0,0.0001191286589516,0.0004639860908831,13,6.175679719961219e-05,0.0001704005244707
2017_9,2017,9,2017-09-01,128,13.0,0.0001324288930415,0.0005171864554067,13,7.741310654980506e-05,0.0002800225647835
2017_10,2017,10,2017-10-01,129,15.0,0.0001895959236876,0.000635069354872,14,6.56436114973891e-05,0.0001975043506341
2017_11,2017,11,2017-11-01,130,18.0,0.0001350712500844,0.0005593910514785,15,6.027747503614352e-05,0.0002501486696578
2017_12,2017,12,2017-12-01,131,15.0,0.0001188608377311,0.0004820935641732,13,5.978486474116804e-05,0.0001525473959524
2018_1,2018,1,2018-01-01,132,13.0,0.0001224469804574,0.0004087906599463,13,5.393421501665646e-05,0.0001458160105941
2018_2,2018,2,2018-02-01,133,14.0,0.0001460867024579,0.0004584868976681,15,0.0001059924489965,0.0002199555401126
2018_3,2018,3,2018-03-01,134,11.0,0.0002266237592349,0.0005985543758923,14,0.0001368517118511,0.00050042337408
2018_4,2018,4,2018-04-01,135,15.0,0.0001191043353978,0.0005153174833975,12,6.696786841716583e-05,0.0001862100643443
2018_5,2018,5,2018-05-01,136,13.0,8.841732979664014e-05,0.000399242409592,12,8.070267505610574e-05,0.0001926213927249
2018_6,2018,6,2018-06-01,137,16.0,0.0002120590938008,0.0007025851576676,14,6.874534676708725e-05,0.0001851024554936
2018_7,2018,7,2018-07-01,138,15.0,0.000135800373451,0.0004255611981957,16,5.996936242624527e-05,0.000220508305634
2018_8,2018,8,2018-08-01,139,15.0,9.137009456804788e-05,0.0003664460202985,12,5.48279120675056e-05,0.0002354360481356
2018_9,2018,9,2018-09-01,140,16.0,0.0001095650268434,0.0004194692029502,14,6.481237186661038e-05,0.0002013412386416
2018_10,2018,10,2018-10-01,141,12.0,7.356727727506805e-05,0.0003688929394701,14,5.235561343302806e-05,0.0001990630293649
2018_11,2018,11,2018-11-01,142,13.0,9.137009456804788e-05,0.0004321110307195,12,8.164774165959524e-05,0.0002399314062287
2018_12,2018,12,2018-12-01,143,15.0,0.0001085030200007,0.000488634653457,16,6.43434179460005e-05,0.0002483228235761
2019_1,2019,1,2019-01-01,144,13.0,0.0001365700433609,0.0005343985665653,16,6.544544227648984e-05,0.0002489799345052
2019_2,2019,2,2019-02-01,145,13.0,0.000145211645974,0.0005284340395508,12,6.314515267136683e-05,0.0001854914726586
2019_3,2019,3,2019-03-01,146,18.0,0.0001555330896648,0.0005718610429647,14,8.355201362669877e-05,0.0002245178099543
2019_4,2019,4,2019-04-01,147,13.0,0.000174370255117,0.0005649380508479,15,0.000104321734399,0.0003035026416539
2019_5,2019,5,2019-05-01,148,15.0,0.0001340183158364,0.0004367392208297,13,6.728019518921202e-05,0.0002160087408195
2019_6,2019,6,2019-06-01,149,16.0,0.0001470966792924,0.0005327060010377,14,7.175378227943859e-05,0.0002077060413465
2019_7,2019,7,2019-07-01,150,12.0,0.0001024275325207,0.0004290334202471,12,9.90288398003853e-05,0.0001927942772571
2019_8,2019,8,2019-08-01,151,17.0,0.0001040654918828,0.0005898120712678,16,6.887680829175637e-05,0.0002312824593751
2019_9,2019,9,2019-09-01,152,16.0,0.0001024275325207,0.0004149847578915,15,9.235235171364944e-05,0.0002611919024188
2019_10,2019,10,2019-10-01,153,13.0,7.651251327376178e-05,0.000379105741672,13,7.060936119343557e-05,0.000222156741499
2019_11,2019,11,2019-11-01,154,15.0,0.0001365700433609,0.0006080111152352,14,0.0001009963948059,0.0003381190938771
2019_12,2019,12,2019-12-01,155,13.0,0.0001192016892582,0.000408920595546,16,0.0001181272472701,0.0003221483420156
2020_1,2020,1,2020-01-01,156,16.0,0.0001144872117784,0.0004935171122047,13,6.596520525437594e-05,0.0001800875493481
2020_2,2020,2,2020-02-01,157,13.0,0.0002707703416219,0.0007615569705824,15,9.476971676002464e-05,0.0003358906534093
2020_3,2020,3,2020-03-01,158,15.0,0.0001562377939223,0.0004382766332147,15,0.0001260004331866,0.0003366717156484
2020_4,2020,4,2020-04-01,159,18.0,0.0001380167000207,0.0006294309060753,14,0.0001058699757009,0.000276937133905
2020_5,2020,5,2020-05-01,160,15.0,0.0002216312056737,0.0007844509537416,15,0.0001851214804619,0.000410291580521
2020_6,2020,6,2020-06-01,161,13.0,0.000148954609468,0.0005331496945136,15,0.0001283847414069,0.0003789597491389
2020_7,2020,7,2020-07-01,162,15.0,0.0001562377939223,0.0005783165220016,14,0.0001470750528212,0.0004256342256139
2020_8,2020,8,2020-08-01,163,13.0,0.0001457725947521,0.0005609698584319,12,0.0001153521367189,0.0003204699527556
2020_9,2020,9,2020-09-01,164,16.0,0.0001477541371158,0.0005035578630333,17,6.631930905504258e-05,0.000334189852211
2020_10,2020,10,2020-10-01,165,14.0,0.0001562377939223,0.000582193544681,14,0.0001216968045443,0.0002769074598473
2020_11,2020,11,2020-11-01,166,14.0,0.0001368316628467,0.0004501621859198,13,0.0001402695347426,0.0004153867449756
2020_12,2020,12,2020-12-01,167,16.0,0.0002394554099818,0.0009303095859604,18,0.0001437979756634,0.0003434777945937
2021_1,2021,1,2021-01-01,168,15.0,0.0002264492753623,0.0005710759455751,12,0.0001729838437196,0.0003809351859137
2021_2,2021,2,2021-02-01,169,14.0,0.0001087981431783,0.0004546431160257,13,7.45612982459429e-05,0.0002523568838368
2021_3,2021,3,2021-03-01,170,14.0,0.0001144269498352,0.0005119678247221,13,9.519608974082548e-05,0.0002988749904078
2021_4,2021,4,2021-04-01,171,16.0,0.0001843941116813,0.0005117889210706,15,0.0001153819357302,0.0003049689629765
2021_5,2021,5,2021-05-01,172,15.0,0.0001393534002229,0.000497267480982,15,0.0001350650758215,0.0003302819780278
2021_6,2021,6,2021-06-01,173,17.0,0.0001383317194632,0.0007119830278677,12,7.204833866028457e-05,0.0002372135960401
2021_7,2021,7,2021-07-01,174,16.0,0.0001811758311441,0.0006430398678348,15,0.0001140798456639,0.0003915997465534
2021_8,2021,8,2021-08-01,175,18.0,0.0001574431236715,0.0006056300825584,16,7.524799091702411e-05,0.0002941890133209
2021_9,2021,9,2021-09-01,176,17.0,0.0001393534002229,0.0005502326596466,15,0.0001303327228777,0.0003584981423105
2021_10,2021,10,2021-10-01,177,13.0,0.0001644083355026,0.000570496927323,13,0.0001241684126132,0.0003528770031619
2021_11,2021,11,2021-11-01,178,12.0,0.0001187225454113,0.0004855400480693,14,9.801614576001643e-05,0.0002525014862948
2021_12,2021,12,2021-12-01,179,14.0,0.0001144269498352,0.0005237891416115,15,0.0001578124891268,0.000448668961102
2022_1,2022,1,2022-01-01,180,13.0,0.0001523777860892,0.0005369780988577,15,0.0001014608937925,0.0002903094619252
2022_2,2022,2,2022-02-01,181,15.0,0.0001060595347521,0.0004299319903152,16,0.0001354185679757,0.0003367373243158
2022_3,2022,3,2022-03-01,182,14.0,0.0001523777860892,0.0005692728524872,13,0.0001470576901985,0.0003445210794485
2022_4,2022,4,2022-04-01,183,15.0,0.0001151383963524,0.0004012193530953,14,7.402199417502875e-05,0.0002564169180248
2022_5,2022,5,2022-05-01,184,13.0,0.0001590204341257,0.0003996792406871,14,5.765328535623824e-05,0.0002235785929671
2022_6,2022,6,2022-06-01,185,16.0,0.0001590204341257,0.0006558494835393,13,9.559390778523444e-05,0.0002258852728787
2022_7,2022,7,2022-07-01,186,15.0,0.0001662303120974,0.0006591579363654,14,0.0001010392920529,0.00032095587642
2022_8,2022,8,2022-08-01,187,15.0,0.0004770613023773,0.0010233071497753,13,0.0001900277153954,0.0004199081352747
2022_9,2022,9,2022-09-01,188,14.0,0.000124672734073,0.0004617317297744,15,0.0001170794886898,0.0003080627908799
2022_10,2022,10,2022-10-01,189,16.0,0.0001456717287592,0.0006258753024294,15,0.000110143674355,0.0003004787441126
2022_11,2022,11,2022-11-01,190,15.0,0.000136605801193,0.0005058549661484,14,8.924968149132631e-05,0.0002594198167895
2022_12,2022,12,2022-12-01,191,14.0,0.0003187468694503,0.0006695173240071,15,0.0001313765916598,0.0004592112648854
2023_1,2023,1,2023-01-01,192,16.0,9.251977610214184e-05,0.0006786317839437,16,6.398342427172569e-05,0.0003585564841857
2023_2,2023,2,2023-02-01,193,14.0,0.0001481426613829,0.0008187348995274,16,7.74601608710988e-05,0.0003640476125821
2023_3,2023,3,2023-03-01,194,14.0,0.000114215227174,0.0007550995630547,14,6.363303508562782e-05,0.0002843796101044
2023_4,2023,4,2023-04-01,195,13.0,0.0001111069960371,0.000592967206949,16,0.0001010594769733,0.0004157986833718
2023_5,2023,5,2023-05-01,196,13.0,0.0001806333282385,0.0006286825817212,15,0.0001043617117376,0.0003418852871506
2023_6,2023,6,2023-06-01,197,14.0,0.0001379976540398,0.0005671061934556,16,0.0001040936092276,0.0003491604982776
2023_7,2023,7,2023-07-01,198,13.0,0.0001090076668725,0.0005509444969012,17,7.554879108342609e-05,0.0003344116965105
2023_8,2023,8,2023-08-01,199,14.0,0.0001045737964209,0.0007161765373371,16,6.663192316936581e-05,0.0003379433637077
2023_9,2023,9,2023-09-01,200,17.0,0.0001603334936668,0.0007693289115761,16,6.805447240149753e-05,0.0002437634277435
