month_index,month_label,year,month,filtration_type,homology_dimension,dimension,pair_id_within_month_dimension,birth,death,persistence,finite,birth_internal,death_internal,persistence_internal,c_hat,band,significant,persistence_over_band
134,2018_3,2018,3,superlevel,1,1,1,2.5454537039822467e-05,2.2802070427994863e-05,2.6524666118276043e-06,True,-2.5454537039822467e-05,-2.2802070427994863e-05,2.6524666118276043e-06,0.0001084721223556538,0.0002169442447113076,False,0.012226489876960319
134,2018_3,2018,3,superlevel,1,1,2,2.4690138758579824e-05,2.036286627705716e-05,4.327272481522664e-06,True,-2.4690138758579824e-05,-2.036286627705716e-05,4.327272481522664e-06,0.0001084721223556538,0.0002169442447113076,False,0.019946472824301283
134,2018_3,2018,3,superlevel,1,1,3,1.4757315939376946e-05,6.183871227065567e-06,8.57344471231138e-06,True,-1.4757315939376946e-05,-6.183871227065567e-06,8.57344471231138e-06,0.0001084721223556538,0.0002169442447113076,False,0.03951911572358257
134,2018_3,2018,3,superlevel,1,1,4,1.942181263777348e-05,0.0,1.942181263777348e-05,True,-1.942181263777348e-05,-0.0,1.942181263777348e-05,0.0001084721223556538,0.0002169442447113076,False,0.08952444285221074
134,2018_3,2018,3,superlevel,1,1,5,1.723484195649926e-05,0.0,1.723484195649926e-05,True,-1.723484195649926e-05,-0.0,1.723484195649926e-05,0.0001084721223556538,0.0002169442447113076,False,0.07944364682010364
134,2018_3,2018,3,superlevel,1,1,6,3.616767333357445e-05,0.0,3.616767333357445e-05,True,-3.616767333357445e-05,-0.0,3.616767333357445e-05,0.0001084721223556538,0.0002169442447113076,False,0.166714140684873
134,2018_3,2018,3,superlevel,1,1,7,6.151007227433493e-05,0.0,6.151007227433493e-05,True,-6.151007227433493e-05,-0.0,6.151007227433493e-05,0.0001084721223556538,0.0002169442447113076,False,0.2835294034012643
134,2018_3,2018,3,superlevel,1,1,8,1.1345200412965295e-05,0.0,1.1345200412965295e-05,True,-1.1345200412965295e-05,-0.0,1.1345200412965295e-05,0.0001084721223556538,0.0002169442447113076,False,0.05229546618331636
134,2018_3,2018,3,superlevel,1,1,9,3.8780232422859657e-05,0.0,3.8780232422859657e-05,True,-3.8780232422859657e-05,-0.0,3.8780232422859657e-05,0.0001084721223556538,0.0002169442447113076,False,0.17875667766372577
134,2018_3,2018,3,superlevel,1,1,10,1.476843100189036e-05,0.0,1.476843100189036e-05,True,-1.476843100189036e-05,-0.0,1.476843100189036e-05,0.0001084721223556538,0.0002169442447113076,False,0.06807477663923757
134,2018_3,2018,3,superlevel,1,1,11,1.6571381224625074e-05,0.0,1.6571381224625074e-05,True,-1.6571381224625074e-05,-0.0,1.6571381224625074e-05,0.0001084721223556538,0.0002169442447113076,False,0.07638543832622512
134,2018_3,2018,3,superlevel,1,1,12,0.0002266237592349,0.0,0.0002266237592349,True,-0.0002266237592349,-0.0,0.0002266237592349,0.0001084721223556538,0.0002169442447113076,True,1.044617521596266
