predicted,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95,model,target,train_end,holdout_year,horizon,date,observed
4.200792531715197e-05,3.69177925338117e-05,4.668722842715281e-05,3.26202886012803e-05,5.171833528301515e-05,3.0266033292356744e-05,5.57290863419188e-05,2.8004232469245732e-05,5.957390737738928e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,6,2023-06-01,3.2666054920547245e-05
4.214965903314164e-05,3.6450401882626155e-05,4.70941983761099e-05,3.225724696716421e-05,5.265595810607103e-05,2.9640523162722955e-05,5.616732585145527e-05,2.733147961748269e-05,6.0134571095685964e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,7,2023-07-01,3.444783973439528e-05
4.2291392749131325e-05,3.61964304896335e-05,4.772762296267112e-05,3.1570753568231555e-05,5.359196031535064e-05,2.867848432105393e-05,5.7413621232854025e-05,2.6510980995206046e-05,6.157170758873433e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,8,2023-08-01,3.241151423285467e-05
4.2433126465121e-05,3.6134410843395854e-05,4.838133509614632e-05,3.092620773427722e-05,5.4254478867809304e-05,2.796418517803048e-05,5.829510983240388e-05,2.4958080805323465e-05,6.313792096776401e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,9,2023-09-01,2.876309770926108e-05
4.257486018111068e-05,3.617365093415734e-05,4.871331100021318e-05,3.0631480649218965e-05,5.476652525124361e-05,2.733831697824439e-05,5.937687989160861e-05,2.4634093682788982e-05,6.387555210763262e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,10,2023-10-01,2.732070047900315e-05
4.271659389710036e-05,3.5759036006376524e-05,4.900022654000693e-05,2.9722581725655295e-05,5.541090349075955e-05,2.648491915673944e-05,6.010901895259173e-05,2.391557286578424e-05,6.473400880089618e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,11,2023-11-01,2.553891566515512e-05
4.285832761309004e-05,3.5518671187703047e-05,4.957638622243694e-05,2.9433405459311065e-05,5.600758759183551e-05,2.5904152733201752e-05,6.083270679469555e-05,2.3305876802824107e-05,6.567216265695234e-05,drift_residual_bootstrap,statewide_rate,2022-12-01,2023,12,2023-12-01,2.5284374977462543e-05
3.741593001928536e-05,3.683669979642631e-05,4.108506541053242e-05,3.4187173281085305e-05,4.555871503199189e-05,2.8422956410525714e-05,4.874556839758113e-05,2.4655053728162578e-05,5.257798826280538e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,1,2023-01-01,3.207212664926457e-05
3.4354626654071106e-05,3.373305554240581e-05,3.8499474224177354e-05,3.1647318611601224e-05,4.246243829601451e-05,2.6884136054247714e-05,4.558239244728071e-05,2.3728145311971834e-05,4.951668489759113e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,2,2023-02-01,3.3769064567215074e-05
4.05622695890889e-05,3.977263116463164e-05,4.428444956248605e-05,3.7170331372400404e-05,4.870505460179543e-05,3.309177898926551e-05,5.1784673667294004e-05,2.993578824698963e-05,5.572432783260892e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,3,2023-03-01,3.325998319182992e-05
3.5375061109142526e-05,3.4662231645436436e-05,3.9097241082539676e-05,3.214630437094247e-05,4.348287275108593e-05,2.7904570509319134e-05,4.659746518734763e-05,2.4748579767043253e-05,5.053711935266255e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,4,2023-04-01,3.648416523593589e-05
3.6055350745856803e-05,3.548063741463277e-05,3.972448613710387e-05,3.334804270338692e-05,4.4163162387800205e-05,2.8584860146033412e-05,4.7277754824061906e-05,2.5742832034553138e-05,5.0446000100969205e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,5,2023-05-01,3.3429676983624976e-05
3.66506041779818e-05,3.607589084675776e-05,4.037278415137895e-05,3.404458617376017e-05,4.4793389190688326e-05,2.9612863732312927e-05,4.798024255627757e-05,2.6346135790544683e-05,5.181266242150182e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,6,2023-06-01,3.2666054920547245e-05
4.107248681662461e-05,4.0497773485400575e-05,4.479466679002176e-05,3.784373007842456e-05,4.9180298458568014e-05,3.207951320786497e-05,5.2294890894829714e-05,3.044600547452534e-05,5.623454506014463e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,7,2023-07-01,3.444783973439528e-05
3.903161790648177e-05,3.845238768362272e-05,4.275379787987892e-05,3.5639679689793274e-05,4.71744029191883e-05,3.1561127306658384e-05,5.036125628477755e-05,2.84051365643825e-05,5.419367615000179e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,8,2023-08-01,3.241151423285467e-05
3.639549556421394e-05,3.581626534135489e-05,4.003286634735159e-05,3.3166738826013885e-05,4.436250313833519e-05,2.7402521955454294e-05,4.701702342015032e-05,2.5769014222114666e-05,5.155755380773396e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,9,2023-09-01,2.876309770926108e-05
4.209292127169603e-05,4.1471350160030735e-05,4.5762056662943096e-05,3.886416453349598e-05,5.005992884581728e-05,3.309994766293639e-05,5.2714449127632414e-05,2.933204498057325e-05,5.725497951521605e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,10,2023-10-01,2.732070047900315e-05
3.77560748376425e-05,3.718023228350971e-05,4.1425210228889565e-05,3.452731809944245e-05,4.572308241176375e-05,3.071833439197363e-05,4.89784789158476e-05,2.7443556126338836e-05,5.216600941496516e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,11,2023-11-01,2.553891566515512e-05
4.1157523021213896e-05,4.058280968998986e-05,4.516080299397144e-05,3.792876628301384e-05,4.9300308033920425e-05,3.36870324213905e-05,5.254792392535801e-05,3.0531041679114624e-05,5.706528521426103e-05,seasonal_naive_residual_bootstrap,statewide_rate,2022-12-01,2023,12,2023-12-01,2.5284374977462543e-05
3.383695942147556e-05,2.9519532724384753e-05,3.728435769238131e-05,2.6790497989272092e-05,3.872884546424801e-05,2.6069582468858953e-05,4.2498117545883304e-05,2.5925269149037083e-05,4.538045954289036e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,1,2023-01-01,3.207212664926457e-05
3.133947466326745e-05,2.7022047966176644e-05,3.4786872934173204e-05,2.4293013231063983e-05,3.629282663698662e-05,2.3572097710650844e-05,4.080205608300269e-05,2.3427784390828973e-05,4.2882974784682254e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,2,2023-02-01,3.3769064567215074e-05
3.711487131818315e-05,3.279744462109234e-05,4.05622695890889e-05,3.006840988597968e-05,4.20067573609556e-05,2.9776594637301185e-05,4.577602944259089e-05,2.920318104574467e-05,4.865837143959795e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,3,2023-03-01,3.325998319182992e-05
3.490545329816693e-05,3.0588026601076125e-05,3.8352851569072685e-05,2.7858991865963464e-05,4.0411998650407144e-05,2.7138076345550324e-05,4.436803471790217e-05,2.6993763025728454e-05,4.6448953419581735e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,4,2023-04-01,3.648416523593589e-05
3.919594993723444e-05,3.487852324014363e-05,4.2774920535044235e-05,3.214948850503097e-05,4.4087835980006885e-05,3.1428572984617826e-05,4.785710806164218e-05,3.128425966479596e-05,5.073945005864924e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,5,2023-05-01,3.3429676983624976e-05
3.7192367748273455e-05,3.299434146546592e-05,4.0771338346083254e-05,3.027503156526815e-05,4.2084253791045903e-05,2.9832636053804768e-05,4.6654949168008694e-05,2.9280677475834978e-05,4.873586786968826e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,6,2023-06-01,3.2666054920547245e-05
3.887757107120615e-05,3.4679544788398615e-05,4.245654166901595e-05,3.196023488820085e-05,4.4384116423446364e-05,3.153929439032419e-05,4.7538729195613896e-05,3.0965880798767675e-05,5.0421071192620955e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,7,2023-07-01,3.444783973439528e-05
3.631616856596592e-05,3.208829217958757e-05,3.9763566836871676e-05,2.9269707133762455e-05,4.120805460873837e-05,2.8548791613349316e-05,4.577874998570116e-05,2.8404478293527445e-05,4.7859668687380726e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,8,2023-08-01,3.241151423285467e-05
3.6161295506550824e-05,3.196326922374329e-05,3.974026610436062e-05,2.924395932354552e-05,4.1667840858791036e-05,2.8393918553934216e-05,4.482245363095857e-05,2.8249605234112346e-05,4.7704795627965627e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,9,2023-09-01,2.876309770926108e-05
3.658637591945582e-05,3.238834963664828e-05,4.016534651726562e-05,2.9669039736450516e-05,4.209292127169603e-05,2.9248099238573856e-05,4.604895733919106e-05,2.8674685647017342e-05,4.812987604087062e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,10,2023-10-01,2.732070047900315e-05
3.514110415931307e-05,3.0823677462222266e-05,3.8588502430218826e-05,2.8094642727109604e-05,4.0647649511553284e-05,2.7781372464844385e-05,4.3802262283720816e-05,2.7229413886874595e-05,4.6684604280727875e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,11,2023-11-01,2.553891566515512e-05
3.6551742348573044e-05,3.232386596219469e-05,3.99991406194788e-05,2.9505280916369576e-05,4.2058287700813256e-05,2.8784365395956437e-05,4.601432376830828e-05,2.8640052076134566e-05,4.809524246998785e-05,recent_5_year_same_month_bootstrap,statewide_rate,2022-12-01,2023,12,2023-12-01,2.5284374977462543e-05
3.729749834486467e-05,3.665609792106577e-05,3.8074071736881404e-05,3.575577372791964e-05,3.9232620799982905e-05,3.546709989004451e-05,4.1789680433217816e-05,3.494276177409493e-05,4.5784256251917676e-05,stl_loess_residual_bootstrap,statewide_rate,2022-12-01,2023,1,2023-01-01,3.207212664926457e-05
3.502290821634539e-05,3.4410274134187895e-05,3.582553271958992e-05,3.372099902688007e-05,3.7110647767531816e-05,3.319293154596309e-05,4.012539460012459e-05,3.261851619409134e-05,4.35096661233984e-05,stl_loess_residual_bootstrap,statewide_rate,2022-12-01,2023,2,2023-02-01,3.3769064567215074e-05
4.037658598337262e-05,3.973518555957372e-05,4.1106485649468566e-05,3.879877158163397e-05,4.216752750311402e-05,3.854618752855247e-05,4.4680021963358594e-05,3.7972193961118564e-05,4.8863343890425626e-05,stl_loess_residual_bootstrap,statewide_rate,2022-12-01,2023,3,2023-03-01,3.325998319182992e-05
3.6595858389806e-05,3.593457734545009e-05,3.7399692674825584e-05,3.5054133772860966e-05,3.8683597940992423e-05,3.47658817194237e-05,4.3732857851245715e-05,3.4241121819036256e-05,4.631261836475881e-05,stl_loess_residual_bootstrap,statewide_rate,2022-12-01,2023,4,2023-04-01,3.648416523593589e-05
4.2332154586843435e-05,4.1728981786643375e-05,4.3134779090087966e-05,4.0953120015515964e-05,4.426727704196168e-05,4.050217791646114e-05,4.6824336675196576e-05,3.992776256458938e-05,5.081891249389644e-05,stl_loess_residual_bootstrap,statewide_rate,2022-12-01,2023,5,2023-05-01,3.3429676983624976e-05
3.757170700479605e-05,3.696853420459598e-05,3.836773793683443e-05,3.6192672433468575e-05,3.9660800684091914e-05,3.574130854997589e-05,4.2674193388575246e-05,3.5216970434026306e-05,4.6058464911849055e-05,stl_loess_residual_bootstrap,statewide_rate,2022-12-01,2023,6,2023-06-01,3.2666054920547245e-05
